Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4
Summer,Vegetables,Lady's Finger,April,🌱🧪 Apply final 25% Urea for Growth (45 DAS) | Monitor plant health | 🧪 Spray early morning/evening only,🔎⚠️ Scout: Whitefly (If you see 5-10 in one leaf ) (YVMV vector),Continue irrigation,Remove weeds again
Summer,Vegetables,Lady's Finger,May,🧪 Spray Imidacloprid for Whiteflies | 🧪 Spray early morning/evening only,Irrigation (weather dependent),Check crop often,🧪 Use spray to stop disease | 🧪 Spray early morning/evening only
Summer,Vegetables,Lady's Finger,June,📅 Book Thresher & Labor | ✂️ Harvesting starts,📅 Book Thresher & Labor | ✂️ Keep harvest safe and dry,Measure crop yield,Field cleanup
Rabi,Paddy,KMP-220 (Mandya Jyothi),October,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling,Green Manuring | Nursery/seeding in trays,Give compost or chemical fertilizer,Maintain nursery irrigation
Rabi,Paddy,KMP-220 (Mandya Jyothi),November,📅 Book Tractor & Labor | 🌱 Put young plants into field | Transplant at 15x10 cm spacing,"🌱 Post transplant irrigation | 🧪 Apply Fertilizer (50% N First Dose, full P & K) | 🧪 Spray early morning/evening only",Remove weeds first time,💧🌾 Water Saving (Keep soil moist but not flooded)
Rabi,Paddy,KMP-220 (Mandya Jyothi),December,🧪 Apply 25% N (tillering) split | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",Pull out weeds again,💧 Water based on rain or dryness
Rabi,Paddy,KMP-220 (Mandya Jyothi),January,Panicle emergence monitoring,🧪🌾 Apply final 25% Nitrogen (Grain forming stage split) | 🧪 Spray early morning/evening only,💧 Begin to remove water from field,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only"
Rabi,Paddy,KMP-220 (Mandya Jyothi),February,Field draining & field checks,📅 Book Thresher & Labor | ✂️ Harvest planning,📅 Book Thresher & Labor | ✂️ Use machine to cut crop,Threshing & drying
Rabi,Paddy,KMP-220 (Mandya Jyothi),March,📅 Book Thresher & Labor | ✂️ Completing harvest,Dry grain to 14% moisture (Air-tight Bags),Field cleaning and bund maintenance,📅 Book Thresher & Labor | ✂️ Clean the field after harvest
Rabi,Paddy,MO-4,October,📅 Book Tractor & Labor | 🌦️ Check Weather | 🚜 Land prep & puddling,Green Manuring | Nursery/seeding in trays,Give compost or chemical fertilizer,Maintain nursery irrigation
Rabi,Paddy,MO-4,November,📅 Book Tractor & Labor | 🌱 Put young plants into field | Transplant at 15x10 cm spacing | ⚠️ Near sea? Check water salinity,"🌱 Post transplant irrigation | 🧪 Apply Fertilizer (50% N First Dose, full P & K) | 🧪 Spray early morning/evening only",Remove weeds first time,💧🌾 Water Saving (Keep soil moist but not flooded)
Rabi,Paddy,MO-4,December,🧪 Apply 25% N (tillering) split | 🧪 Spray early morning/evening only,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",Pull out weeds again,💧 Water based on rain or dryness
Rabi,Paddy,MO-4,January,Panicle emergence monitoring,🧪🌾 Apply final 25% Nitrogen (Grain forming stage split) | 🧪 Spray early morning/evening only,💧 Begin to remove water from field,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only"
Rabi,Paddy,MO-4,February,Maintain soil moisture,Field draining & field checks,🔎 Scout for late-stage pests,📅 Book Thresher & Labor | ✂️💧 Remove water before harvest
Rabi,Paddy,MO-4,March,📅 Book Thresher & Labor | ✂️ First week: Cut and collect the crop,Second week: Threshing & drying,Dry grain to 14% moisture (Air-tight Bags),Field cleaning and bund maintenance
Rabi,Cowpea,GP-1,October,🌦️ Check Weather | Prepare fine seedbed.,🌱 Treat seeds and sow at 45x10 cm spacing. | 🧪 Apply 12.5:25:12.Fertilizer (5) kg/ha as First Dose dose | 🧪 Spray early morning/evening only,🌱💧 Irrigate lightly after sowing.,Weed if needed.
Rabi,Cowpea,GP-1,November,🌱 Weed at 20-25 days after sowing.,Growth Dose small nitrogen dose.,Check for aphids and pod borer.,🧪 Spray pest control if needed. | Spray 1% Urea (30 DAS) | 🧪 Spray early morning/evening only
Rabi,Cowpea,GP-1,December,💧 Irrigate at flowering.,Monitor pod filling,🔎 Scout for pests,📅 Book Thresher & Labor | ✂️ Prepare for pod harvest
Rabi,Cowpea,GP-1,January,📅 Book Thresher & Labor | ✂️ Harvest dry pods in splits,"Dry pods in sun. Thresh and dry grain | Store with Azadirachtin (10,000 ppm @ 7.5 ml/kg)",Field resting,Field resting
Rabi,Cowpea,GP-1,February,Field resting,Field resting,Field resting,Field resting
Rabi,Cowpea,GP-1,March,Field resting,Field resting,Field resting,Field resting
