Season,Crop,Variety,Month,Week 1,Week 2,Week 3,Week 4,Week 1 (KN),Week 2 (KN),Week 3 (KN),Week 4 (KN)
Rabi,Groundnut,DH-40,February,📅 Book Thresher & Labor | ✂️ Start cutting crop by hand or machine,📅 Book Thresher & Labor | ✂️ Dry pods to 7-8% moisture to prevent Aflatoxin | See how much you harvested,Field resting,Field resting,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Start cutting crop by hand or machine,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಕಾಯಿಗಳನ್ನು ಶೇ. 7-8 ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ to ಅಫಲಾಟಾಕ್ಸಿನ್ (ಬೂಷ್ಟು) ಬರದಂತೆ ತಡೆಯಲು | See how much you harvested,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Groundnut,DH-40,March,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Black gram,LBG-17,October,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost,Make soft bed for seeds,"🧪🔎 Scout: Aphids, Pod Borer | Apply before weeds come out Pendimethalin | 🧪 Spray early morning/evening only",🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,🧪🔎 ಪರಿಶೀಲಿಸಿ: ಹೇನು ಮತ್ತು ಕಾಯಿ ಕೊರಕ | ಕಳೆ ಬರುವ ಮೊದಲು ಪೆಂಡಿಮೆಥಾಲಿನ್ ಬಳಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Rabi,Black gram,LBG-17,November,📅 Book Tractor & Labor | 🌱🧪 Sowing pulses or peanuts + Apply 50% N and full dose of P & K | 🧪 Treat with PSB & Azospirillum,🌱💧 Water when plants start to grow,Remove weeds first time,🧪 Spray 1% Urea (30 DAS) | Monitor moisture | 🧪 Spray early morning/evening only,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪 ಬೇಳೆಕಾಳು ಅಥವಾ ಶೇಂಗಾ ಬಿತ್ತನೆ ಮಾಡಿ + ಶೇ. 50 ರಷ್ಟು ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,🧪 ಶೇ. 1 ರಷ್ಟು ಯೂರಿಯಾ ದ್ರಾವಣವನ್ನು ಸಿಂಪಡಿಸಿ (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Rabi,Black gram,LBG-17,December,Monitor crop health,"🧪🔎 Spray 1% Urea (45 DAS) | Scout: Aphids, Pod Borer, Mosaic Virus | 🧪 Spray early morning/evening only",🔎 Scout for late-stage pests,Check pod maturation,Monitor crop health,"🧪🔎 ಶೇ. 1 ರಷ್ಟು ಯೂರಿಯಾ ದ್ರಾವಣವನ್ನು ಸಿಂಪಡಿಸಿ (45 DAS) | ಪರಿಶೀಲಿಸಿ: ಹೇನು ಮತ್ತು ಕಾಯಿ ಕೊರಕ, Mosaic Virus | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ",🔎 Scout for late-stage pests,ಕಾಯಿ ಬಲಿತಿರುವುದನ್ನು ಪರೀಕ್ಷಿಸಿ
Rabi,Black gram,LBG-17,January,Monitor moisture,Check pod maturation,📅 Book Thresher & Labor | ✂️ Prepare for harvest,"📅 Book Thresher & Labor | ✂️ Harvest when 80% pods turn black | Dry grain to 9-10% moisture | Store with Azadirachtin (10,000 ppm @ 7.5 ml/kg)",ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ,ಕಾಯಿ ಬಲಿತಿರುವುದನ್ನು ಪರೀಕ್ಷಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Prepare for harvest,"📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ ಶೇ. 80 ರಷ್ಟು ಕಾಯಿಗಳು ಕಪ್ಪಾದಾಗ ಕೊಯ್ಲು ಮಾಡಿ | Dry grain to 9-10% moisture | ಅಜಾಡಿರಾಕ್ಟಿನ್‌ನೊಂದಿಗೆ ಸಂಗ್ರಹಿಸಿ (10,000 ppm @ 7.5 ml/kg)"
Rabi,Black gram,LBG-17,February,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Rabi,Black gram,LBG-17,March,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
Summer,Paddy,Shakti,February,🌦️🧪 Check Weather | Prepare land and test soil and apply compost | 🧪 Spray early morning/evening only,📅 Book Tractor & Labor | 🌱 Green Manuring | Sow seeds in trays or beds | 🧪 Treat with PSB & Azospirillum,💧 Water and care for seedlings,💧 Remove weak seedlings and continue watering,"🌦️🧪 ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿ ಸಿದ್ಧಪಡಿಸಿ, ಮಣ್ಣು ಪರೀಕ್ಷೆ ಮಾಡಿ ಮತ್ತು ಕೊಟ್ಟಿಗೆ ಗೊಬ್ಬರ ಬಳಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ",📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | ಟ್ರೇ ಅಥವಾ ಮಡಿಗಳಲ್ಲಿ ಬೀಜ ಬಿತ್ತಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,💧 ಸಸಿಗಳಿಗೆ ನೀರು ಕೊಡಿ ಮತ್ತು ಆರೈಕೆ ಮಾಡಿ,💧 ಬಲಹೀನ ಸಸಿಗಳನ್ನು ತೆಗೆಯಿರಿ and continue watering
Summer,Paddy,Shakti,March,🌱 Move 15–18 day-old seedlings to main field | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (for green leaves) | 🧪 Spray early morning/evening only,🌱💧 Water newly planted seedlings,🌱 Remove unwanted plants and replace missing ones,💧🌾 Water Saving (Keep soil moist but not flooded),🌱 15-18 ದಿನಗಳ ಸಸಿಗಳನ್ನು ಮುಖ್ಯ ಜಮೀನಿಗೆ ವರ್ಗಾಯಿಸಿ | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (ಹಸಿರು ಎಲೆಗಳಿಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱💧 Water newly planted seedlings,🌱 ಅನಗತ್ಯ ಗಿಡಗಳನ್ನು ತೆಗೆದು ಖಾಲಿ ಇರುವ ಜಾಗದಲ್ಲಿ ಹೊಸ ಸಸಿಗಳನ್ನು ನಾಟಿ ಮಾಡಿ,💧🌾 ನೀರಿನ ಉಳಿತಾಯ (ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶವಿರಲಿ ಆದರೆ ನೀರು ನಿಲ್ಲಿಸಬೇಡಿ)
Summer,Paddy,Shakti,April,,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,🌱 Continue plant care and monitoring,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,"🔎⚠️ ಪರಿಶೀಲಿಸಿ: ಜಿಗಿ ಹುಳು (If you see 5-10 in one hill ), ಕಾಂಡಕೊರಕ (ಮೊಟ್ಟೆಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ ), ಬೆಂಕಿರೋಗ (ಕೆಎಂಪಿ-220 ನಂತಹ ರೋಗ ನಿರೋಧಕ ತಳಿಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡಿ)",🧪 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಸಸಿ ಒಡೆಯುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱 Continue plant care and monitoring
Summer,Paddy,Shakti,May,Check if grains are forming,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Adjust water based on need,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only",ಧಾನ್ಯಗಳು ತುಂಬುತ್ತಿವೆಯೇ ಎಂದು ಪರೀಕ್ಷಿಸಿ,🧪🌾 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಹಾಲು ತುಂಬುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,💧 Adjust water based on need,"🧪 Spray Tricyclazole for ಬೆಂಕಿರೋಗ (ಕೆಎಂಪಿ-220 ನಂತಹ ರೋಗ ನಿರೋಧಕ ತಳಿಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡಿ), Chlorantraniliprole for ಕಾಂಡಕೊರಕ (ETL: 1-2 egg masses/sq.m) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ"
Summer,Paddy,Shakti,June,📅 Book Thresher & Labor | ✂️💧 Reduce water and stop watering before harvest,Dry grain to 14% moisture (Air-tight Bags),Collect and store rice and remove straw,Clean and repair field and leave land ready for next crop,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ನೀರಿನ ಪ್ರಮಾಣ ಕಡಿಮೆ ಮಾಡಿ ಮತ್ತು ನಂತರ ನಿಲ್ಲಿಸಿ,ಧಾನ್ಯವನ್ನು ಶೇ. 14 ರಷ್ಟು ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ (ಗಾಳಿಯಾಡದ ಚೀಲಗಳು),ಭಕ್ಕಿ ಸಂಗ್ರಹಿಸಿ ಮತ್ತು ಒಣ ಹುಲ್ಲನ್ನು ತೆಗೆಯಿರಿ,ಜಮೀನನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ ಮತ್ತು ಬದುಗಳನ್ನು ಸರಿಪಡಿಸಿ and leave land ready for next crop
Summer,Paddy,CTH-1 (Mukti),February,🌦️🧪 Check Weather | Prepare land and test soil and apply compost | 🧪 Spray early morning/evening only,📅 Book Tractor & Labor | 🌱 Green Manuring | Sow seeds in trays or beds | 🧪 Treat with PSB & Azospirillum,💧 Water and care for seedlings,💧 Remove weak seedlings and continue watering,"🌦️🧪 ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿ ಸಿದ್ಧಪಡಿಸಿ, ಮಣ್ಣು ಪರೀಕ್ಷೆ ಮಾಡಿ ಮತ್ತು ಕೊಟ್ಟಿಗೆ ಗೊಬ್ಬರ ಬಳಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ",📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱 ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | ಟ್ರೇ ಅಥವಾ ಮಡಿಗಳಲ್ಲಿ ಬೀಜ ಬಿತ್ತಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ,💧 ಸಸಿಗಳಿಗೆ ನೀರು ಕೊಡಿ ಮತ್ತು ಆರೈಕೆ ಮಾಡಿ,💧 ಬಲಹೀನ ಸಸಿಗಳನ್ನು ತೆಗೆಯಿರಿ and continue watering
Summer,Paddy,CTH-1 (Mukti),March,🌱 Move 15–18 day-old seedlings to main field | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (for green leaves) | 🧪 Spray early morning/evening only,🌱💧 Water newly planted seedlings,🌱 Remove unwanted plants and replace missing ones,💧🌾 Water Saving (Keep soil moist but not flooded),🌱 15-18 ದಿನಗಳ ಸಸಿಗಳನ್ನು ಮುಖ್ಯ ಜಮೀನಿಗೆ ವರ್ಗಾಯಿಸಿ | 🧪 Apply Fertilizer + 8 kg/Acre Zinc (ಹಸಿರು ಎಲೆಗಳಿಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱💧 Water newly planted seedlings,🌱 ಅನಗತ್ಯ ಗಿಡಗಳನ್ನು ತೆಗೆದು ಖಾಲಿ ಇರುವ ಜಾಗದಲ್ಲಿ ಹೊಸ ಸಸಿಗಳನ್ನು ನಾಟಿ ಮಾಡಿ,💧🌾 ನೀರಿನ ಉಳಿತಾಯ (ಮಣ್ಣಿನಲ್ಲಿ ತೇವಾಂಶವಿರಲಿ ಆದರೆ ನೀರು ನಿಲ್ಲಿಸಬೇಡಿ)
Summer,Paddy,CTH-1 (Mukti),April,,"🔎⚠️ Scout: BPH (If you see 5-10 in one hill ), Stem Borer (Check for eggs ), Blast (Prioritize Blast-tolerant varieties like KMP-220)",🧪 Apply 25% N (tillering) split | Pull out weeds | 🧪 Spray early morning/evening only,🌱 Continue plant care and monitoring,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,"🔎⚠️ ಪರಿಶೀಲಿಸಿ: ಜಿಗಿ ಹುಳು (If you see 5-10 in one hill ), ಕಾಂಡಕೊರಕ (ಮೊಟ್ಟೆಗಳಿಗಾಗಿ ಪರಿಶೀಲಿಸಿ ), ಬೆಂಕಿರೋಗ (ಕೆಎಂಪಿ-220 ನಂತಹ ರೋಗ ನಿರೋಧಕ ತಳಿಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡಿ)",🧪 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಸಸಿ ಒಡೆಯುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,🌱 Continue plant care and monitoring
Summer,Paddy,CTH-1 (Mukti),May,Check if grains are forming,🧪🌾 Apply 25% N (Grain forming stage ) | 🧪 Spray early morning/evening only,💧 Adjust water based on need,"🧪 Spray Tricyclazole for Blast (Prioritize Blast-tolerant varieties like KMP-220), Chlorantraniliprole for Stem Borer (ETL: 1-2 egg masses/sq.m) | 🧪 Spray early morning/evening only",ಧಾನ್ಯಗಳು ತುಂಬುತ್ತಿವೆಯೇ ಎಂದು ಪರೀಕ್ಷಿಸಿ,🧪🌾 ಶೇ. 25 ರಷ್ಟು ಯೂರಿಯಾ ಗೊಬ್ಬರವನ್ನು (ಹಾಲು ತುಂಬುವ ಹಂತದಲ್ಲಿ) ಹಾಕಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,💧 Adjust water based on need,"🧪 Spray Tricyclazole for ಬೆಂಕಿರೋಗ (ಕೆಎಂಪಿ-220 ನಂತಹ ರೋಗ ನಿರೋಧಕ ತಳಿಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡಿ), Chlorantraniliprole for ಕಾಂಡಕೊರಕ (ETL: 1-2 egg masses/sq.m) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ"
Summer,Paddy,CTH-1 (Mukti),June,📅 Book Thresher & Labor | ✂️💧 Reduce water and stop watering before harvest,Dry grain to 14% moisture (Air-tight Bags),Collect and store rice and remove straw,Clean and repair field and leave land ready for next crop,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ನೀರಿನ ಪ್ರಮಾಣ ಕಡಿಮೆ ಮಾಡಿ ಮತ್ತು ನಂತರ ನಿಲ್ಲಿಸಿ,ಧಾನ್ಯವನ್ನು ಶೇ. 14 ರಷ್ಟು ತೇವಾಂಶ ಬರುವವರೆಗೆ ಒಣಗಿಸಿ (ಗಾಳಿಯಾಡದ ಚೀಲಗಳು),ಭಕ್ಕಿ ಸಂಗ್ರಹಿಸಿ ಮತ್ತು ಒಣ ಹುಲ್ಲನ್ನು ತೆಗೆಯಿರಿ,ಜಮೀನನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಿ ಮತ್ತು ಬದುಗಳನ್ನು ಸರಿಪಡಿಸಿ and leave land ready for next crop
Summer,Groundnut,TMV-2,February,🌦️ Check Weather | Ready land and give lime to soil,Green Manuring | Soil test & compost | 🧪 Apply 4 kg/Acre Borax (for pod filling) | 🧪 Spray early morning/evening only,Make soft bed for seeds,"📅 Book Tractor & Labor | 🌱🧪💧 Sow (10""x4"") + Apply 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) + give small water + Apply 25 kg N First Dose and full dose of P & K at sowing | 🧪 Treat with PSB & Azospirillum",🌦️ ಹವಾಮಾನವನ್ನು ಪರಿಶೀಲಿಸಿ | ಭೂಮಿಯನ್ನು ಸಿದ್ಧಪಡಿಸಿ ಮತ್ತು ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಅಥವಾ ಡೋಲೊಮೈಟ್ ಹಾಕಿ,ಹಸಿರು ಗೊಬ್ಬರ ಬಳಕೆ | Soil test & compost | 🧪 ಎಕರೆಗೆ 4 ಕೆಜಿ ಬೊರಾಕ್ಸ್ ಹಾಕಿ (ಕಾಯಿ ತುಂಬುವಿಕೆಗಾಗಿ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,ಬೀಜ ಬಿತ್ತಲು ಮಣ್ಣನ್ನು ಹದ ಮಾಡಿ,📅 ಟ್ರಾಕ್ಟರ್ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | 🌱🧪💧 10x4 ಇಂಚು ಅಂತರದಲ್ಲಿ ಬಿತ್ತನೆ ಮಾಡಿ + ಎಕರೆಗೆ 125 ಕೆಜಿ ಜಿಪ್ಸಮ್ ಪುಡಿಯನ್ನು ಹಾಕಿ (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) + give small water + ಬಿತ್ತನೆ ಸಮಯದಲ್ಲಿ 25 ಕೆಜಿ ಯೂರಿಯಾ ಮತ್ತು ಪೂರ್ಣ ಪ್ರಮಾಣದ ಡಿಎಪಿ/ಪೊಟ್ಯಾಶ್ ಹಾಕಿ | 🧪 ಪಿಎಸ್ಬಿ ಮತ್ತು ಅಜೋಸ್ಪೈರಿಲಮ್ ಜೈವಿಕ ಗೊಬ್ಬರದೊಂದಿಗೆ ಬೀಜೋಪಚಾರ ಮಾಡಿ
Summer,Groundnut,TMV-2,March,🌱💧 Water when plants start to grow,Remove weeds first time,Monitor moisture,🧪 125 kg/Acre Gypsum powder (for pod health) (half of 250kg/Acre total) (30 DAS) | 🧪 Spray early morning/evening only,🌱💧 ಗಿಡಗಳು ಬೆಳೆಯಲು ಪ್ರಾರಂಭಿಸಿದಾಗ ನೀರು ಕೊಡಿ,ಮೊದಲ ಬಾರಿ ಕಳೆ ತೆಗೆಯಿರಿ,ತೇವಾಂಶವನ್ನು ಗಮನಿಸಿ,🧪 125 kg/Acre Gypsum powder (ಕಾಯಿಗಳ ಆರೋಗ್ಯಕ್ಕಾಗಿ) ((ಒಟ್ಟು 250 ಕೆಜಿ ಜಿಪ್ಸಮ್‌ನಲ್ಲಿ ಅರ್ಧದಷ್ಟು)) (ಬಿತ್ತನೆ ಮಾಡಿದ 30 ದಿನಗಳ ನಂತರ) | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Groundnut,TMV-2,April,🔎 Pest / disease scouting,Pull out weeds again,Irrigation if required,🧪 Flowering / pegging period | Apply 10 kg Urea for Growth to maximize pod yield | 💧⚠️ DO NOT allow soil to dry now - critical for pod formation | 🧪 Spray early morning/evening only,🔎 Pest / disease scouting,ಕಳೆಗಳನ್ನು ಕಿತ್ತೆಸೆಯಿರಿ again,Irrigation if required,🧪 ಹೂವಾಡುವ ಮತ್ತು ಕಾಯಿ ಕಟ್ಟುವ ಹಂತ | ಗಿಡದ ಬೆಳವಣಿಗೆಗಾಗಿ 10 ಕೆಜಿ ಯೂರಿಯಾ ಹಾಕಿ to maximize pod yield | 💧⚠️ ಈ ಸಮಯದಲ್ಲಿ ಮಣ್ಣು ಒಣಗಲು ಬಿಡಬೇಡಿ - critical for pod formation | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ
Summer,Groundnut,TMV-2,May,See if pods are growing well,🧪 Spray Tebuconazole 2DS or Mancozeb for leaf spots | 🧪 Spray early morning/evening only,📅 Book Thresher & Labor | ✂️💧🔎 Inspect field before cutting | Drain water before harvest,"📅 Book Thresher & Labor | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste",See if pods are growing well,🧪 ಎಲೆಚುಕ್ಕೆ ರೋಗಕ್ಕೆ ಟೆಬುಕೊನಜೋಲ್ ಅಥವಾ ಮ್ಯಾಂಕೋಜೋಬ್ ಸಿಂಪಡಿಸಿ | 🧪 ಮುಂಜಾನೆ ಅಥವಾ ಸಂಜೆ ವೇಳೆ ಮಾತ್ರ ಸಿಂಪಡಿಸಿ,📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️💧🔎 ಕೊಯ್ಲಿಗೆ ಮೊದಲು ಜಮೀನನ್ನು ಪರೀಕ್ಷಿಸಿ | ಕೊಯ್ಲಿಗೆ ಮೊದಲು ನೀರನ್ನು ಹೊರಹಾಕಿ,"📅 ಒಕ್ಕಣೆ ಯಂತ್ರ ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬುಕ್ ಮಾಡಿ | ✂️ Start cutting (hand/machine) | Drying, pod separation, yield check, remove waste"
Summer,Groundnut,TMV-2,June,Field resting,Field resting,Field resting,Field resting,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ,ಜಮೀನಿಗೆ ವಿಶ್ರಾಂತಿ
